,system.cpu.total.pct,system.cpu.user.pct,system.cpu.system.pct,system.cpu.idle.pct,system.cpu.iowait.pct,system.cpu.softirq.pct
0,32.85%,23.64%,5.01%,367.15%,3.1%,1.1%
1,27.58%,21.02%,5.35%,372.42%,0.3%,0.91%
2,33.35%,24.79%,6.65%,366.65%,0.81%,1.11%
3,32.61%,24.13%,5.68%,367.39%,1.6%,1.2%
4,32.2%,23.9%,6.1%,367.8%,1.07%,1.12%
5,32.71%,23.61%,7.3%,367.29%,0.3%,1.5%
6,35.94%,26.73%,6.61%,364.06%,1.3%,1.3%
7,29.83%,23.1%,5.22%,370.17%,0.9%,0.6%
8,28.9%,21.65%,5.54%,371.1%,0.3%,1.41%
9,44.66%,35.32%,7.73%,355.34%,0.6%,1%
