,@timestamp,jolokia.metrics.memory.heap_memory_usage.committed,jolokia.metrics.memory.heap_memory_usage.max,jolokia.metrics.memory.heap_memory_usage.used,jolokia.metrics.memory.non_heap_memory_usage.used,jolokia.metrics.threading.thread_count,jolokia.metrics.threading.daemon_thread_count,jolokia.metrics.gc.psms.collection_count,jolokia.metrics.gc.psms.collection_time,jolokia.metrics.gc.pss.collection_count,jolokia.metrics.gc.pss.collection_time
0,September 28th 2018 09:37:40.393,2002780160,2002780160,567940784,262551632,217,128,5,1108,31,1309
1,September 28th 2018 09:38:40.463,1959264256,1959264256,536266920,289064136,961,146,5,1108,33,1434
2,September 28th 2018 09:39:40.463,1908932608,1908932608,457645496,292317816,1134,149,5,1108,37,1759
3,September 28th 2018 09:40:40.463,1919942656,1919942656,462895664,293915128,1102,155,5,1108,41,1900
4,September 28th 2018 09:41:40.463,1952972800,1952972800,662337336,291977048,937,160,5,1108,44,2019
5,September 28th 2018 09:42:40.463,1959788544,1959788544,712203016,291878744,938,161,5,1108,47,2150
6,September 28th 2018 09:43:40.463,1987051520,1987051520,642082928,291949752,938,161,5,1108,50,2273
7,September 28th 2018 09:44:40.463,1990721536,1990721536,473614240,292252112,937,160,5,1108,53,2377
8,September 28th 2018 09:45:40.463,1994915840,1994915840,677117600,292391808,937,160,5,1108,55,2462
9,September 28th 2018 09:46:40.463,2005401600,2005401600,833871208,292555360,937,160,5,1108,57,2529
