"@timestamp","jolokia.metrics.memory.heap_memory_usage.committed","jolokia.metrics.memory.heap_memory_usage.max","jolokia.metrics.memory.heap_memory_usage.used","jolokia.metrics.memory.non_heap_memory_usage.used","jolokia.metrics.threading.thread_count","jolokia.metrics.threading.daemon_thread_count","jolokia.metrics.gc.psms.collection_count","jolokia.metrics.gc.psms.collection_time","jolokia.metrics.gc.pss.collection_count","jolokia.metrics.gc.pss.collection_time"
"September 28th 2018, 09:37:40.393","2,002,780,160","2,002,780,160","567,940,784","262,551,632",217,128,5,"1,108",31,"1,309"
"September 28th 2018, 09:38:40.463","1,959,264,256","1,959,264,256","536,266,920","289,064,136",961,146,5,"1,108",33,"1,434"
"September 28th 2018, 09:39:40.463","1,908,932,608","1,908,932,608","457,645,496","292,317,816","1,134",149,5,"1,108",37,"1,759"
"September 28th 2018, 09:40:40.463","1,919,942,656","1,919,942,656","462,895,664","293,915,128","1,102",155,5,"1,108",41,"1,900"
"September 28th 2018, 09:41:40.463","1,952,972,800","1,952,972,800","662,337,336","291,977,048",937,160,5,"1,108",44,"2,019"
"September 28th 2018, 09:42:40.463","1,959,788,544","1,959,788,544","712,203,016","291,878,744",938,161,5,"1,108",47,"2,150"
"September 28th 2018, 09:43:40.463","1,987,051,520","1,987,051,520","642,082,928","291,949,752",938,161,5,"1,108",50,"2,273"
"September 28th 2018, 09:44:40.463","1,990,721,536","1,990,721,536","473,614,240","292,252,112",937,160,5,"1,108",53,"2,377"
"September 28th 2018, 09:45:40.463","1,994,915,840","1,994,915,840","677,117,600","292,391,808",937,160,5,"1,108",55,"2,462"
"September 28th 2018, 09:46:40.463","2,005,401,600","2,005,401,600","833,871,208","292,555,360",937,160,5,"1,108",57,"2,529"
