,@timestamp,system.network.in.bytes,system.network.in.packets,system.network.in.dropped,system.network.in.errors,system.network.out.bytes,system.network.out.packets,system.network.out.dropped,system.network.out.errors
0,"October 2nd 2018, 00:00:07.548",162159000000,314247915,170271,0,158015000000,330592456,0,169263
1,"October 2nd 2018, 00:00:17.548",162163000000,314255213,170271,0,158019000000,330600271,0,169267
2,"October 2nd 2018, 00:00:27.548",162167000000,314263082,170271,0,158022000000,330608529,0,169272
3,"October 2nd 2018, 00:00:37.548",162171000000,314269917,170273,0,158026000000,330616148,0,169275
4,"October 2nd 2018, 00:00:46.362",162174000000,314276176,170275,0,158030000000,330622675,0,169276
5,"October 2nd 2018, 00:00:47.548",162175000000,314277029,170275,0,158030000000,330623596,0,169277
6,"October 2nd 2018, 00:00:57.548",162179000000,314284771,170276,0,158034000000,330631613,0,169279
7,"October 2nd 2018, 00:01:07.548",162183000000,314291761,170276,0,158038000000,330638952,0,169285
8,"October 2nd 2018, 00:01:17.548",162187000000,314299288,170276,0,158042000000,330646786,0,169289
9,"October 2nd 2018, 00:01:27.548",162191000000,314308362,170277,0,158045000000,330656250,0,169292
